,,Party,Won,Total,,,,
,,Bharatiya Janata Party - BJP,46,46,,,,
,,National People's Party - NPEP,5,5,,,,
,,Nationalist Congress Party - NCP,3,3,,,,
,,People's Party of Arunachal - PPA,2,2,,,,
,,Indian National Congress - INC,1,1,,,,
,,Independent - IND,3,3,,,,
,,,,,,,,
,,Total,60,60,,,,
,,,,,,,,
Constituency,Const.no,Leading Candidate,Leading Party,Total party won seats,"Trailing Candidate	",Trailing Party,Total party won seats,Margin
Along (East),31,KENTO JINI,Bharatiya Janata Party,46,JARKAR GAMLIN,People's Party of Arunachal,2,3158
Along (West),30,TOPIN ETE,Bharatiya Janata Party,46,NYAMO ETE,National People's Party,5,1951
Anini,41,MOPI MIHU,Bharatiya Janata Party,46,ERI TAYU,Independent,3,1173
Bameng,8,KUMAR WAII,Indian National Congress,1,DOBA LAMNIO,Bharatiya Janata Party,46,635
Basar,29,NYABI JINI DIRCHI,Bharatiya Janata Party,46,GOKAR BASAR,National People's Party,5,1791
Bomdila,7,DONGRU SIONGJU,Bharatiya Janata Party,46,,,0,-
Bordumsa-Diyun,49,NIKH KAMIN,Nationalist Congress Party,3,SOMLUNG MOSSANG,Bharatiya Janata Party,46,1352
Borduria-Bogapani,57,WANGLIN LOWANGDONG,Bharatiya Janata Party,46,JOWANG HOSAI,Nationalist Congress Party,3,1452
Changlang(North),53,TESAM PONGTE,Bharatiya Janata Party,46,DIHOM KITNYA,National People's Party,5,2002
Changlang(South),52,HAMJONG TANGHA,Bharatiya Janata Party,46,TIMPU NGEMU,National People's Party,5,1482
Chayangtajo,9,HAYENG MANGFI,Bharatiya Janata Party,46,KOMPU DOLO,Indian National Congress,1,6685
Chowkham,46,CHOWNA MEIN,Bharatiya Janata Party,46,,,0,-
Dambuk,42,PUINNYO APUM,Bharatiya Janata Party,46,RAJU TAYENG,People's Party of Arunachal,2,222
Daporijo,24,TANIYA SOKI,Bharatiya Janata Party,46,DIKTO YEKAR,National People's Party,5,228
Dirang,4,PHURPA TSERING,Bharatiya Janata Party,46,YESHI TSEWANG,National People's Party,5,1202
Doimukh,14,NABAM VIVEK,People's Party of Arunachal,2,TANA HALI TARA,Bharatiya Janata Party,46,2530
Dumporijo,26,RODE BUI,Bharatiya Janata Party,46,TABE DONI,National People's Party,5,1591
Hayuliang,45,DASANGLU PUL,Bharatiya Janata Party,46,,,0,-
Itanagar,13,TECHI KASO,Bharatiya Janata Party,46,,,0,-
Kalaktang,5,TSETEN CHOMBAY KEE,Bharatiya Janata Party,46,WANGDI DORJEE KHRIMEY,Nationalist Congress Party,3,2869
Kanubari,58,GABRIEL DENWANG WANGSU,Bharatiya Janata Party,46,PANJAM WANGSA,National People's Party,5,2059
Khonsa (West),56,CHAKAT ABOH,Bharatiya Janata Party,46,YANG SEN MATEY,Nationalist Congress Party,3,804
Khonsa(East),55,WANGLAM SAWIN,Independent,3,KAMRANG TESIA,Bharatiya Janata Party,46,2216
Koloriang,21,PANI TARAM,Bharatiya Janata Party,46,KAHFA BENGIA,People's Party of Arunachal,2,10550
Lekang,48,LIKHA SONI,Nationalist Congress Party,3,CHOW SUJANA NAMCHOOM,Bharatiya Janata Party,46,654
Likabali(ST),28,KARDO NYIGYOR,Bharatiya Janata Party,46,MOLI RIBA,Independent,3,2605
Liromoba,27,PESI JILEN,National People's Party,5,NYAMAR KARBAK,Bharatiya Janata Party,46,1698
Longding-Pumao,59,THANGWANG WANGHAM,National People's Party,5,TANPHO WANGNAW,Bharatiya Janata Party,46,169
Lumla,1,TSERING LHAMU,Bharatiya Janata Party,46,JAMPA THIRNLY KUNKHAP,Indian National Congress,1,1531
Mariyang,40,ONI PANYANG,National People's Party,5,OLOM PANYANG,Bharatiya Janata Party,46,673
Mebo,39,OKEN TAYENG,People's Party of Arunachal,2,LOMBO TAYENG,Bharatiya Janata Party,46,1017
Mechuka,33,PASANG DORJEE SONA,Bharatiya Janata Party,46,AJU CHIJE,Nationalist Congress Party,3,2558
Miao,50,KAMLUNG MOSANG,Bharatiya Janata Party,46,CHATU LONGRI,Indian National Congress,1,3127
Mukto,3,PEMA KHANDU,Bharatiya Janata Party,46,,,0,-
Nacho,22,NAKAP NALO,Bharatiya Janata Party,46,TANGA BYALING,Indian National Congress,1,1373
Nampong,51,LAISAM SIMAI,Independent,3,IZMIR TIKHAK,Bharatiya Janata Party,46,68
Namsai,47,CHAU ZINGNU NAMCHOOM,Bharatiya Janata Party,46,LIKHA SAAYA,Nationalist Congress Party,3,8556
Namsang,54,WANGKI LOWANG,Bharatiya Janata Party,46,NGONGLIN BOI,Nationalist Congress Party,3,56
Nari Koyu(ST),36,TOJIR KADU,Bharatiya Janata Party,46,GEGONG APANG,Arunachal Democratic Party,0,1649
Nyapin,19,TAI NIKIO,Bharatiya Janata Party,46,TADAR MANGKU,People's Party of Arunachal,2,1182
