,,Party,Won,Total,,,,,
,,Bharatiya Janata Party - BJP,78,78,,,,,
,,Biju Janata Dal - BJD,51,51,,,,,
,,Indian National Congress - INC,14,14,,,,,
,,Communist Party of India  (Marxist) - CPI(M),1,1,,,,,
,,Independent - IND,3,3,,,,,
,,,,,,,,,
,,Total,147,147,,,,,
,,,,,,,,,
,,,,,,,,,
Constituency,Const.no,Leading Candidate,Leading Party,Total party won seats,"Trailing Candidate	",Trailing Party,Total party won seats,Margin,Rounds
Anandapur,22,ABHIMANYU SETHI,Biju Janata Dal,51,JAYADEV JENA,Indian National Congress,14,10966,25/25
Angul,61,PRATAP CHANDRA PRADHAN,Bharatiya Janata Party,78,SANJUKTA SINGH,Biju Janata Dal,51,17433,21/21
Aska,128,SAROJ KUMAR PADHI,Bharatiya Janata Party,78,MANJULA SWAIN,Biju Janata Dal,51,8059,15/15
Athagarh,89,RANENDRA PRATAP SWAIN,Biju Janata Dal,51,ABHAYA KUMAR BARIK,Bharatiya Janata Party,78,3584,19/19
Athamallik,63,NALINI KANTA PRADHAN,Biju Janata Dal,51,SANJEEB KUMAR SAHOO,Bharatiya Janata Party,78,16153,21/21
Attabira,4,NIHAR RANJAN MAHANAND,Bharatiya Janata Party,78,SNEHANGINI CHHURIA,Biju Janata Dal,51,28910,19/19
Aul,98,PRATAP KESHARI DEB,Biju Janata Dal,51,DEBASMITA SHARMA,Indian National Congress,14,19628,32/32
Badasahi,32,SANATAN BIJULI,Bharatiya Janata Party,78,ANASUYA PATRA,Biju Janata Dal,51,37387,20/20
Balasore,38,MANAS KUMAR DUTTA,Bharatiya Janata Party,78,SWARUP KUMAR DAS,Biju Janata Dal,51,28626,18/18
Baliguda,82,CHAKRAMANI KANHAR,Biju Janata Dal,51,UPENDRA PRADHAN,Indian National Congress,14,1671,19/19
Balikuda-Erasama,103,SARADA PRASANNA JENA,Biju Janata Dal,51,SATYA SARATHI MOHANTY,Bharatiya Janata Party,78,25959,18/18
Bangriposi,29,SANJALI MURMU,Bharatiya Janata Party,78,RANJITA MARNDI,Biju Janata Dal,51,34476,26/26
Banki,88,DEVI RANJAN TRIPATHY,Biju Janata Dal,51,TUSARA KANTA CHAKRABARTY,Bharatiya Janata Party,78,17026,18/18
Barabati-Cuttack,90,SOFIA FIRDOUS,Indian National Congress,14,PURNA CHANDRA MAHAPATRA,Bharatiya Janata Party,78,8001,18/18
Barachana,50,AMAR KUMAR NAYAK,Bharatiya Janata Party,78,VARSHA PRIYADARSHINI,Biju Janata Dal,51,6310,19/19
Baramba,87,BIJAYA KUMAR DALABEHERA,Independent,3,DEBIPRASAD MISHRA,Biju Janata Dal,51,23479,22/22
Bargarh,3,ASHWINI KUMAR SARANGI,Bharatiya Janata Party,78,DEBESH ACHARYA,Biju Janata Dal,51,4772,17/17
Bari,49,BISWA RANJAN MALLICK,Biju Janata Dal,51,UMESH CHANDRA JENA,Bharatiya Janata Party,78,51465,19/19
Baripada,33,PRAKASH SOREN,Bharatiya Janata Party,78,SANANDA MARNDI,Biju Janata Dal,51,29385,27/27
Basta,37,SUBASINI JENA,Biju Janata Dal,51,BIJAN NAYAK,Indian National Congress,14,20377,26/26
Basudevpur,45,ASHOK KUMAR DAS,Indian National Congress,14,BISHNUBRATA ROUTRAY,Biju Janata Dal,51,631,21/21
